diameter,height,volume,d,h,v
8.300000191,70,10.30000019,0.210820005,21.336,0.291663525
8.600000381,65,10.30000019,0.21844001,19.812,0.291663525
8.800000191,63,10.19999981,0.223520005,19.2024,0.28883183
10.5,72,16.39999962,0.2667,21.9456,0.464396273
10.69999981,81,18.79999924,0.271779995,24.6888,0.532356694
10.80000019,83,19.70000076,0.274320005,25.2984,0.557841899
11,66,15.60000038,0.2794,20.1168,0.441742818
11,75,18.20000076,0.2794,22.86,0.51536663
11.10000038,80,22.60000038,0.28194001,24.384,0.639960744
11.19999981,75,19.89999962,0.284479995,22.86,0.563505236
11.30000019,79,24.20000076,0.287020005,24.0792,0.685267709
11.39999962,76,21,0.28955999,23.1648,0.594653778
11.39999962,76,21.39999962,0.28955999,23.1648,0.605980506
11.69999981,69,21.29999924,0.297179995,21.0312,0.603148811
12,75,19.10000038,0.3048,22.86,0.540851781
12.89999962,74,22.20000076,0.32765999,22.5552,0.628634016
12.89999962,85,33.79999924,0.32765999,25.908,0.957109393
13.30000019,86,27.39999962,0.337820005,26.2128,0.775881586
13.69999981,71,25.70000076,0.347979995,21.6408,0.727742979
13.80000019,64,24.89999962,0.350520005,19.5072,0.705089469
14,78,34.5,0.3556,23.7744,0.976931207
14.19999981,80,31.70000076,0.360679995,24.384,0.897644059
14.5,74,36.29999924,0.3683,22.5552,1.02790151
16,72,38.29999924,0.4064,21.9456,1.084535203
16.29999924,77,42.59999847,0.414019981,23.4696,1.206297622
17.29999924,81,55.40000153,0.439419981,24.6888,1.568753344
17.5,82,55.70000076,0.4445,24.9936,1.577248377
17.89999962,80,58.29999924,0.45465999,24.384,1.650872135
18,80,51.5,0.4572,24.384,1.458317599
18,80,51,0.4572,24.384,1.444159176
20.60000038,87,77,0.52324001,26.5176,2.180397188
