ID,species,choice
1,robot,flower
2,human,data
3,human,data
4,human,data
5,robot,data
6,human,flower
7,human,data
8,robot,data
9,human,puppy
10,robot,flower
11,robot,puppy
12,human,flower
13,human,data
14,human,data
15,human,data
16,human,data
17,robot,data
18,human,data
19,human,data
20,human,data
21,human,puppy
22,robot,flower
23,human,data
24,robot,flower
25,robot,flower
26,human,puppy
27,robot,data
28,robot,data
29,robot,data
30,robot,data
31,human,data
32,human,puppy
33,robot,data
34,human,data
35,human,data
36,robot,flower
37,human,data
38,robot,data
39,robot,flower
40,robot,puppy
41,robot,puppy
42,robot,flower
43,human,flower
44,human,data
45,human,data
46,robot,flower
47,robot,flower
48,robot,puppy
49,robot,data
50,human,data
51,human,flower
52,robot,data
53,robot,puppy
54,robot,data
55,robot,data
56,human,data
57,robot,flower
58,robot,data
59,robot,data
60,human,data
61,human,flower
62,robot,flower
63,human,data
64,human,data
65,human,data
66,robot,data
67,robot,flower
68,robot,data
69,human,data
70,human,flower
71,robot,flower
72,human,data
73,robot,puppy
74,robot,flower
75,robot,puppy
76,robot,data
77,robot,data
78,robot,data
79,human,data
80,human,data
81,human,data
82,robot,data
83,human,flower
84,robot,data
85,robot,data
86,human,puppy
87,human,puppy
88,robot,data
89,human,data
90,robot,data
91,human,data
92,human,flower
93,human,flower
94,robot,data
95,robot,flower
96,human,data
97,human,data
98,robot,data
99,human,data
100,robot,data
101,robot,flower
102,robot,data
103,robot,data
104,human,data
105,robot,puppy
106,human,puppy
107,robot,data
108,human,puppy
109,robot,flower
110,robot,flower
111,human,data
112,human,puppy
113,robot,data
114,robot,data
115,human,data
116,human,data
117,robot,data
118,human,data
119,human,data
120,robot,puppy
121,robot,flower
122,human,data
123,robot,flower
124,robot,puppy
125,human,puppy
126,robot,data
127,human,flower
128,robot,puppy
129,robot,flower
130,human,data
131,human,data
132,human,data
133,human,data
134,human,puppy
135,human,puppy
136,human,data
137,human,puppy
138,robot,data
139,human,data
140,human,data
141,robot,flower
142,human,flower
143,human,data
144,robot,data
145,robot,data
146,robot,data
147,human,flower
148,human,data
149,human,puppy
150,human,data
151,human,data
152,human,data
153,robot,flower
154,robot,data
155,human,data
156,robot,flower
157,human,puppy
158,human,flower
159,robot,flower
160,robot,flower
161,robot,flower
162,human,data
163,human,data
164,robot,flower
165,robot,data
166,robot,puppy
167,human,data
168,human,data
169,human,data
170,human,data
171,robot,data
172,human,data
173,human,data
174,robot,flower
175,human,data
176,robot,data
177,robot,data
178,human,data
179,robot,puppy
180,human,data
